	B_ThCSE - FS_ThCSE	B_Th - FS_Th	diff_ThCSE_Th	pattern
AFF1	0	1	0	0x1x0
AFF2	0	0	0	0x0x0
AFF3	0	0	0	0x0x0
AFF4	0	0	0	0x0x0
AFG3L1	0	0	0	0x0x0
AFG3L2	0	0	0	0x0x0
AFM	0	0	0	0x0x0
AFMID	0	1	0	0x1x0
AFP	0	0	0	0x0x0
AFTPH	0	0	0	0x0x0
AGA	0	0	0	0x0x0
AGAP1	0	0	0	0x0x0
AGAP11	0	0	0	0x0x0
AGAP2	0	0	0	0x0x0
AGAP3	0	0	0	0x0x0
AGAP6	0	0	0	0x0x0
AGAP7	0	0	0	0x0x0
AGAP8	0	0	0	0x0x0
AGBL1	0	0	0	0x0x0
AGBL2	0	0	0	0x0x0
AGBL3	0	0	0	0x0x0
AGBL4	0	0	0	0x0x0
AGBL5	0	0	0	0x0x0
AGC1	0	0	0	0x0x0
AGER	0	0	0	0x0x0
AGFG1	0	0	0	0x0x0
AGFG2	0	-1	0	0x1x0
AGGF1	0	0	0	0x0x0
AGK	0	0	0	0x0x0
AGL	0	0	0	0x0x0
AGMAT	0	-1	0	0x1x0
AGPAT1	0	0	0	0x0x0
AGPAT2	0	0	0	0x0x0
AGPAT3	0	0	0	0x0x0
AGPAT4	0	0	0	0x0x0
AGPAT5	0	0	0	0x0x0
AGPAT6	0	1	0	0x1x0
AGPAT9	0	0	0	0x0x0
AGPS	0	0	0	0x0x0
AGR2	0	0	0	0x0x0
AGR3	0	0	0	0x0x0
AGRN	0	0	0	0x0x0
AGRP	0	0	0	0x0x0
AGT	0	0	0	0x0x0
AGTPBP1	1	1	0	1x1x0
AGTR1	0	0	0	0x0x0
AGTR2	0	0	0	0x0x0
AGTRAP	0	0	0	0x0x0
AGXT	0	0	0	0x0x0
AGXT2	0	0	0	0x0x0
AGXT2L1	0	0	0	0x0x0
AGXT2L2	0	0	0	0x0x0
AHCTF1	0	0	0	0x0x0
AHCY	0	0	0	0x0x0
AHCYL1	0	0	0	0x0x0
AHCYL2	0	0	0	0x0x0
AHDC1	0	0	0	0x0x0
AHI1	0	0	0	0x0x0
AHNAK	0	0	0	0x0x0
AHNAK2	0	0	0	0x0x0
AHR	0	0	0	0x0x0
AHRR	0	0	0	0x0x0
AHSA1	0	0	0	0x0x0
AHSA2	0	0	0	0x0x0
AHSG	0	0	0	0x0x0
AHSP	0	0	0	0x0x0
AICDA	0	0	0	0x0x0
AIDA	0	0	0	0x0x0
AIF1	0	0	0	0x0x0
AIF1L	0	0	0	0x0x0
AIFM1	0	-1	0	0x1x0
AIFM2	0	0	0	0x0x0
AIFM3	0	0	0	0x0x0
AIG1	0	1	0	0x1x0
AIM1	0	0	0	0x0x0
AIM1L	0	0	0	0x0x0
AIM2	0	0	0	0x0x0
AIMP2	0	0	0	0x0x0
AIP	0	0	0	0x0x0
AIPL1	0	0	0	0x0x0
AIRE	0	0	0	0x0x0
AJAP1	0	0	0	0x0x0
AK1	0	0	0	0x0x0
AK2	0	1	0	0x1x0
AK2P2	0	0	0	0x0x0
AK3	0	0	0	0x0x0
AK3L1	1	1	0	1x1x0
AK5	0	0	0	0x0x0
AK7	0	0	0	0x0x0
AKAP1	0	0	0	0x0x0
AKAP10	0	0	0	0x0x0
AKAP11	0	1	0	0x1x0
AKAP12	0	1	0	0x1x0
AKAP13	0	0	0	0x0x0
AKAP14	0	0	0	0x0x0
AKAP2	0	0	0	0x0x0
AKAP3	0	0	0	0x0x0
AKAP4	0	0	0	0x0x0
AKAP5	0	0	0	0x0x0
AKAP6	0	0	0	0x0x0
AKAP7	0	0	0	0x0x0
AKAP8	0	0	0	0x0x0
AKAP8L	0	0	0	0x0x0
AKAP9	0	0	0	0x0x0
AKIRIN1	0	-1	0	0x1x0
AKIRIN2	0	0	0	0x0x0
AKNA	0	0	0	0x0x0
AKNAD1	0	0	0	0x0x0
AKR1A1	0	0	0	0x0x0
AKR1B1	0	0	0	0x0x0
AKR1B10	0	0	0	0x0x0
AKR1B15	0	0	0	0x0x0
AKR1C1	0	0	0	0x0x0
AKR1C2	0	0	0	0x0x0
AKR1C3	0	0	0	0x0x0
AKR1C4	-1	0	0	1x0x0
AKR1CL1	0	0	0	0x0x0
AKR1D1	0	0	0	0x0x0
AKR1E2	0	0	0	0x0x0
AKR7A2	0	1	0	0x1x0
AKR7A3	0	0	0	0x0x0
AKR7L	0	0	0	0x0x0
AKT1	0	0	0	0x0x0
AKT1S1	0	0	0	0x0x0
AKT2	0	0	0	0x0x0
AKT3	0	0	0	0x0x0
AKTIP	0	-1	0	0x1x0
ALAD	0	0	0	0x0x0
ALAS1	0	0	0	0x0x0
ALAS2	0	0	0	0x0x0
ALB	0	0	0	0x0x0
ALCAM	0	0	0	0x0x0
ALDH16A1	0	0	0	0x0x0
ALDH18A1	0	0	0	0x0x0
ALDH1A1	0	0	0	0x0x0
ALDH1A2	0	0	0	0x0x0
ALDH1A3	0	0	0	0x0x0
ALDH1B1	0	0	0	0x0x0
ALDH1L1	0	0	0	0x0x0
ALDH1L2	0	0	0	0x0x0
ALDH2	0	0	0	0x0x0
ALDH3A1	0	0	0	0x0x0
ALDH3A2	0	0	0	0x0x0
ALDH3B1	0	0	0	0x0x0
ALDH3B2	0	0	0	0x0x0
ALDH4A1	0	0	0	0x0x0
ALDH5A1	0	0	0	0x0x0
ALDH6A1	0	0	0	0x0x0
ALDH7A1	0	0	0	0x0x0
ALDH8A1	0	0	0	0x0x0
ALDH9A1	0	-1	0	0x1x0
ALDOA	1	1	0	1x1x0
ALDOB	0	0	0	0x0x0
ALDOC	1	1	0	1x1x0
ALG1	0	0	0	0x0x0
ALG10	0	0	0	0x0x0
ALG10B	0	0	0	0x0x0
ALG11	0	0	0	0x0x0
ALG12	0	0	0	0x0x0
ALG13	0	0	0	0x0x0
ALG14	0	0	0	0x0x0
ALG1L	0	0	0	0x0x0
ALG2	0	0	0	0x0x0
ALG3	0	0	0	0x0x0
ALG5	0	0	0	0x0x0
ALG6	0	0	0	0x0x0
ALG8	0	0	0	0x0x0
ALG9	0	1	0	0x1x0
ALK	0	0	0	0x0x0
ALKBH1	0	0	0	0x0x0
ALKBH2	0	0	0	0x0x0
ALKBH3	0	0	0	0x0x0
ALKBH4	0	0	0	0x0x0
ALKBH5	1	1	0	1x1x0
ALKBH6	0	0	0	0x0x0
ALKBH7	0	0	0	0x0x0
ALKBH8	0	0	0	0x0x0
ALLC	0	0	0	0x0x0
ALMS1	0	0	0	0x0x0
ALMS1P	0	0	0	0x0x0
